"","revenue","cost.price","material.expenditures","labor.expenses","labor.costs","social.taxes","depreciation","other.expenditures","selling.expenses","management.expenses","full.cost.price","Income","other.i.e","net.profit","assets","capital.assets","fixed.assets","intangible.assets","current.assets","stock","raw.materials","unfinished.production","receivables","accounts.payable","cash","mobile.working.capital","short.term.investments","VAT.purchased","short.term.receivables","working.capital","charter.capital","short.term.liabilities","long.term.liabilities","borrowed.capital","revenue.of.the.future.periods","future.expenses","Dso","DSp","DSv","dDS","tax.on.profits","VAT","Social.tax","sector"
"37","0.018","0.007","0.004","0.003","0.002","0.001","0.001","0.001","0.000","0.000","0.009","0.005","0.000","0.003","0.039","0.002","0.001","0.000","0.036","0.001","0.001","0.000","0.026","0.009","0.004","0.001","0.004","0.000","0.026","0.031","0.033","0.009","0.000","0.009","0.000","0.000","0.004","0.012","0.008","0.006","0.001","0.002","0.001","0.000"
"38","0.010","0.009","0.003","0.003","0.002","0.000","0.001","0.001","0.000","0.000","0.007","0.006","0.000","0.003","0.039","0.003","0.001","0.000","0.029","0.001","0.001","0.001","0.027","0.009","0.005","0.001","0.003","0.000","0.025","0.029","0.033","0.008","0.000","0.006","0.000","0.000","0.004","0.016","0.006","0.006","0.002","0.002","0.001","0.000"
"39","0.012","0.006","0.004","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.010","0.006","0.000","0.004","0.033","0.002","0.001","0.000","0.041","0.001","0.001","0.000","0.028","0.007","0.004","0.001","0.003","0.000","0.031","0.024","0.022","0.007","0.000","0.009","0.000","0.000","0.004","0.013","0.007","0.007","0.001","0.002","0.000","0.000"
"40","0.014","0.007","0.002","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.009","0.004","0.000","0.003","0.035","0.002","0.001","0.000","0.028","0.001","0.001","0.001","0.025","0.008","0.004","0.001","0.003","0.000","0.023","0.022","0.038","0.007","0.000","0.009","0.000","0.000","0.005","0.011","0.007","0.006","0.001","0.002","0.000","0.000"
"41","0.013","0.008","0.003","0.003","0.002","0.001","0.001","0.001","0.000","0.000","0.010","0.006","0.000","0.003","0.038","0.002","0.001","0.000","0.032","0.001","0.001","0.000","0.029","0.007","0.004","0.002","0.004","0.000","0.030","0.028","0.028","0.008","0.000","0.010","0.000","0.000","0.003","0.012","0.006","0.005","0.001","0.002","0.000","0.000"
"42","0.014","0.009","0.004","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.007","0.007","0.000","0.004","0.038","0.003","0.001","0.000","0.039","0.002","0.001","0.000","0.030","0.007","0.004","0.001","0.003","0.000","0.025","0.030","0.035","0.009","0.000","0.008","0.000","0.000","0.005","0.012","0.005","0.007","0.001","0.002","0.001","0.000"
"43","0.011","0.007","0.003","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.006","0.006","0.000","0.003","0.037","0.002","0.001","0.000","0.032","0.001","0.001","0.000","0.033","0.007","0.005","0.001","0.004","0.000","0.031","0.028","0.026","0.007","0.000","0.010","0.000","0.000","0.002","0.015","0.006","0.007","0.001","0.002","0.001","0.000"
"44","0.012","0.006","0.003","0.003","0.002","0.001","0.001","0.001","0.000","0.000","0.009","0.005","0.000","0.004","0.042","0.002","0.001","0.000","0.036","0.002","0.001","0.001","0.028","0.009","0.003","0.001","0.003","0.000","0.023","0.028","0.028","0.008","0.000","0.010","0.000","0.000","0.004","0.012","0.007","0.006","0.002","0.002","0.001","0.000"
"45","0.011","0.007","0.003","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.008","0.004","0.000","0.005","0.037","0.002","0.001","0.000","0.035","0.001","0.001","0.000","0.031","0.008","0.004","0.001","0.002","0.000","0.031","0.026","0.030","0.008","0.000","0.008","0.000","0.000","0.005","0.013","0.007","0.007","0.001","0.002","0.000","0.000"
"46","0.012","0.007","0.003","0.003","0.002","0.000","0.001","0.001","0.000","0.000","0.007","0.005","0.000","0.004","0.032","0.002","0.001","0.000","0.044","0.002","0.001","0.000","0.025","0.006","0.004","0.001","0.003","0.000","0.027","0.027","0.029","0.010","0.000","0.008","0.000","0.000","0.004","0.014","0.007","0.008","0.001","0.001","0.001","0.000"
"47","0.012","0.010","0.003","0.003","0.002","0.001","0.001","0.001","0.000","0.000","0.008","0.004","0.000","0.003","0.034","0.002","0.001","0.000","0.023","0.001","0.001","0.000","0.022","0.008","0.004","0.001","0.004","0.000","0.029","0.029","0.031","0.009","0.000","0.007","0.000","0.000","0.004","0.013","0.007","0.004","0.001","0.002","0.001","0.000"
"48","0.014","0.010","0.003","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.009","0.005","0.000","0.004","0.036","0.002","0.001","0.000","0.042","0.001","0.001","0.000","0.028","0.008","0.004","0.001","0.002","0.000","0.028","0.029","0.035","0.006","0.000","0.007","0.000","0.000","0.006","0.013","0.006","0.005","0.001","0.002","0.001","0.000"
"49","0.013","0.008","0.003","0.002","0.001","0.000","0.001","0.001","0.000","0.000","0.006","0.005","0.000","0.005","0.028","0.002","0.001","0.000","0.032","0.001","0.001","0.000","0.034","0.010","0.003","0.001","0.003","0.000","0.033","0.026","0.037","0.009","0.000","0.009","0.000","0.000","0.005","0.015","0.007","0.007","0.001","0.002","0.001","0.000"
"50","0.014","0.007","0.003","0.002","0.002","0.001","0.001","0.001","0.000","0.000","0.008","0.004","0.000","0.004","0.041","0.002","0.001","0.000","0.040","0.001","0.001","0.001","0.029","0.010","0.004","0.001","0.003","0.000","0.034","0.022","0.028","0.007","0.000","0.007","0.000","0.000","0.004","0.013","0.006","0.005","0.001","0.002","0.001","0.000"
"51","0.013","0.007","0.004","0.003","0.002","0.000","0.001","0.001","0.000","0.000","0.011","0.005","0.000","0.003","0.041","0.002","0.001","0.000","0.038","0.002","0.001","0.000","0.031","0.009","0.004","0.001","0.003","0.000","0.029","0.031","0.029","0.008","0.000","0.009","0.000","0.000","0.005","0.013","0.009","0.006","0.002","0.002","0.001","0.000"
"52","0.013","0.009","0.003","0.003","0.002","0.001","0.001","0.001","0.000","0.000","0.008","0.005","0.000","0.003","0.030","0.002","0.001","0.000","0.038","0.002","0.001","0.000","0.029","0.010","0.003","0.002","0.004","0.000","0.032","0.026","0.026","0.006","0.000","0.012","0.000","0.000","0.004","0.012","0.006","0.008","0.001","0.002","0.001","0.000"
"53","0.012","0.006","0.003","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.009","0.005","0.000","0.004","0.036","0.002","0.002","0.000","0.034","0.002","0.001","0.000","0.029","0.007","0.003","0.001","0.003","0.000","0.029","0.030","0.024","0.007","0.000","0.006","0.000","0.000","0.004","0.017","0.008","0.006","0.001","0.001","0.001","0.000"
"54","0.014","0.009","0.003","0.002","0.002","0.001","0.001","0.001","0.000","0.000","0.009","0.006","0.000","0.004","0.033","0.002","0.001","0.000","0.034","0.001","0.001","0.000","0.024","0.008","0.004","0.001","0.003","0.000","0.027","0.033","0.033","0.009","0.000","0.006","0.000","0.000","0.004","0.011","0.006","0.007","0.001","0.002","0.001","0.000"
"55","0.014","0.008","0.004","0.002","0.001","0.001","0.001","0.001","0.000","0.000","0.009","0.004","0.000","0.004","0.045","0.003","0.001","0.000","0.036","0.001","0.001","0.001","0.030","0.010","0.004","0.001","0.003","0.000","0.024","0.022","0.027","0.008","0.000","0.008","0.000","0.000","0.004","0.012","0.007","0.006","0.001","0.002","0.001","0.000"
"56","0.014","0.011","0.004","0.002","0.002","0.000","0.002","0.001","0.000","0.000","0.008","0.006","0.000","0.003","0.044","0.002","0.001","0.000","0.036","0.001","0.001","0.000","0.024","0.007","0.004","0.001","0.003","0.000","0.033","0.026","0.028","0.010","0.000","0.008","0.000","0.000","0.004","0.013","0.008","0.006","0.001","0.002","0.001","0.000"
"57","0.016","0.005","0.003","0.003","0.002","0.001","0.002","0.001","0.000","0.000","0.007","0.006","0.000","0.004","0.032","0.002","0.001","0.000","0.038","0.001","0.001","0.001","0.028","0.007","0.004","0.002","0.003","0.000","0.026","0.024","0.032","0.008","0.000","0.011","0.000","0.000","0.004","0.011","0.007","0.007","0.001","0.002","0.001","0.000"
"58","0.015","0.009","0.004","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.009","0.007","0.000","0.004","0.036","0.002","0.001","0.000","0.023","0.001","0.001","0.000","0.022","0.011","0.004","0.001","0.003","0.000","0.017","0.033","0.025","0.008","0.000","0.008","0.000","0.000","0.005","0.017","0.008","0.005","0.002","0.003","0.001","0.000"
"59","0.012","0.009","0.003","0.003","0.002","0.001","0.001","0.001","0.000","0.000","0.007","0.005","0.000","0.003","0.044","0.001","0.001","0.000","0.028","0.001","0.001","0.000","0.023","0.008","0.004","0.001","0.003","0.000","0.032","0.027","0.034","0.008","0.000","0.010","0.000","0.000","0.005","0.011","0.007","0.006","0.001","0.001","0.000","0.000"
"60","0.013","0.009","0.003","0.003","0.003","0.001","0.001","0.001","0.000","0.000","0.010","0.007","0.000","0.004","0.047","0.002","0.001","0.000","0.035","0.002","0.001","0.000","0.031","0.008","0.004","0.001","0.004","0.000","0.030","0.032","0.032","0.009","0.000","0.009","0.000","0.000","0.004","0.014","0.007","0.005","0.001","0.002","0.001","0.000"
"61","0.015","0.006","0.003","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.009","0.006","0.000","0.003","0.043","0.002","0.001","0.000","0.037","0.001","0.001","0.000","0.029","0.008","0.004","0.002","0.004","0.000","0.029","0.025","0.026","0.007","0.000","0.010","0.000","0.000","0.004","0.014","0.007","0.005","0.001","0.002","0.001","0.000"
"62","0.010","0.006","0.003","0.003","0.002","0.001","0.001","0.001","0.000","0.000","0.008","0.005","0.000","0.004","0.037","0.002","0.001","0.000","0.033","0.002","0.001","0.000","0.023","0.008","0.004","0.001","0.002","0.000","0.023","0.022","0.030","0.008","0.000","0.009","0.000","0.000","0.004","0.013","0.006","0.007","0.002","0.002","0.001","0.000"
"63","0.010","0.007","0.003","0.002","0.002","0.000","0.001","0.002","0.000","0.000","0.009","0.005","0.000","0.004","0.046","0.002","0.001","0.000","0.032","0.001","0.001","0.000","0.031","0.006","0.002","0.002","0.003","0.000","0.025","0.026","0.036","0.008","0.000","0.009","0.000","0.000","0.003","0.018","0.006","0.006","0.002","0.002","0.001","0.000"
"64","0.016","0.008","0.004","0.003","0.002","0.001","0.001","0.001","0.000","0.000","0.009","0.006","0.000","0.004","0.038","0.002","0.001","0.000","0.034","0.001","0.001","0.000","0.022","0.007","0.006","0.001","0.003","0.000","0.034","0.025","0.023","0.010","0.000","0.010","0.000","0.000","0.004","0.014","0.007","0.006","0.001","0.002","0.001","0.000"
"65","0.013","0.006","0.003","0.002","0.002","0.001","0.001","0.001","0.000","0.000","0.006","0.006","0.000","0.005","0.030","0.002","0.001","0.000","0.034","0.001","0.001","0.000","0.026","0.007","0.005","0.002","0.003","0.000","0.029","0.023","0.035","0.009","0.000","0.008","0.000","0.000","0.004","0.011","0.008","0.004","0.001","0.001","0.001","0.000"
"66","0.013","0.008","0.003","0.003","0.002","0.000","0.001","0.002","0.000","0.000","0.006","0.005","0.000","0.004","0.034","0.002","0.001","0.000","0.037","0.001","0.001","0.000","0.029","0.009","0.004","0.001","0.003","0.000","0.032","0.023","0.033","0.009","0.000","0.009","0.000","0.000","0.005","0.012","0.007","0.004","0.002","0.002","0.000","0.000"
"67","0.012","0.007","0.003","0.003","0.002","0.001","0.001","0.001","0.000","0.000","0.009","0.005","0.000","0.004","0.031","0.002","0.001","0.000","0.042","0.001","0.001","0.000","0.020","0.007","0.004","0.002","0.003","0.000","0.020","0.023","0.033","0.009","0.000","0.009","0.000","0.000","0.004","0.014","0.006","0.008","0.001","0.002","0.000","0.000"
"68","0.012","0.010","0.003","0.003","0.002","0.000","0.001","0.001","0.000","0.000","0.006","0.005","0.000","0.003","0.036","0.002","0.001","0.000","0.032","0.001","0.001","0.000","0.026","0.007","0.004","0.002","0.003","0.000","0.024","0.030","0.029","0.009","0.000","0.005","0.000","0.000","0.004","0.014","0.007","0.006","0.001","0.002","0.000","0.000"
"69","0.015","0.010","0.003","0.003","0.002","0.000","0.001","0.001","0.000","0.000","0.007","0.004","0.000","0.004","0.046","0.002","0.001","0.000","0.042","0.001","0.001","0.000","0.028","0.007","0.003","0.001","0.003","0.000","0.027","0.035","0.024","0.007","0.000","0.008","0.000","0.000","0.005","0.011","0.007","0.006","0.001","0.002","0.001","0.000"
"70","0.008","0.007","0.003","0.003","0.002","0.000","0.001","0.001","0.000","0.000","0.007","0.006","0.000","0.004","0.046","0.002","0.001","0.000","0.039","0.001","0.001","0.000","0.023","0.007","0.004","0.001","0.003","0.000","0.026","0.023","0.025","0.007","0.000","0.010","0.000","0.000","0.005","0.013","0.009","0.006","0.001","0.002","0.001","0.000"
"71","0.016","0.006","0.003","0.003","0.002","0.001","0.001","0.001","0.000","0.000","0.008","0.004","0.000","0.004","0.048","0.002","0.001","0.000","0.035","0.001","0.001","0.000","0.026","0.009","0.006","0.001","0.004","0.000","0.030","0.029","0.026","0.010","0.000","0.008","0.000","0.000","0.004","0.013","0.009","0.006","0.001","0.002","0.001","0.000"
